ActivityType;StartTime;EndTime;AltitudeAvg;AltitudeMin;AltitudeMax;Ascent;Descent;Distance;Duration;HrAvg;HrMin;HrMax;Calories;SpeedAvg;SpeedMax;CadenceAvg;CadenceMax
Biking;2020-08-08 10:58:36+00:00;2020-08-08 15:37:39+00:00;122.7404771284196;89.80000305175781;180.39999389648438;1634.799575805664;1616.3995819091797;100654.43;16743.0;160.0741859891465;90;None;3054;21.64223544167712;None;None;None
Running;2020-08-10 16:32:39+00:00;2020-08-10 17:27:30+00:00;131.13676893656887;120.4000015258789;146.1999969482422;194.00017547607422;197.60018157958984;7903.36;3291.0;134.54501364049713;65;None;546;8.645425706472198;None;None;None
Other;None;None;None;None;None;0;0;0.0;None;None;None;None;282;None;None;None;None
Running;2020-08-12 17:32:51+00:00;2020-08-12 18:47:03+00:00;133.17452981926655;119.4000015258789;147.0;187.40009307861328;183.40009307861328;15039.45;4452.0;157.68688451208595;97;None;1005;12.161280323450136;None;None;None
Other;2020-08-13 16:01:27+00:00;2020-08-13 17:35:05+00:00;82.20632550931604;60.400001525878906;104.80000305175781;502.5999984741211;501.3999938964844;28308.04;5618.0;144.02594171997157;77;None;1052;18.13971947312211;None;None;None
Biking;2020-08-14 16:47:14+00:00;2020-08-14 17:24:13+00:00;111.29476520103096;85.5999984741211;137.0;193.20004272460938;206.20004272460938;15413.390000000003;2219.0;133.3807606263982;55;None;389;25.00595042812078;None;None;None
Running;2020-08-14 17:26:15+00:00;2020-08-14 17:47:04+00:00;100.99840256200432;89.0;116.4000015258789;91.80000305175781;91.60000610351562;3254.85;1249.0;141.88141025641025;98;None;260;9.381473178542834;None;None;None
Biking;2020-08-14 17:48:01+00:00;2020-08-14 18:26:04+00:00;102.5017053381449;76.5999984741211;127.5999984741211;233.20001983642578;217.40001678466797;15963.77;2283.0;143.78405606657907;103;None;471;25.17283048620237;None;None;None
Other;2020-08-15 07:38:25+00:00;2020-08-15 08:50:54+00:00;139.7809982671517;123.4000015258789;147.60000610351562;22.200027465820312;44.4000244140625;6993.9400000000005;4349.0;109.39220462850183;67;None;522;5.789419176822259;None;None;None
Other;2020-08-17 16:33:45+00:00;2020-08-17 17:27:52+00:00;137.26326466750044;124.0;150.60000610351562;329.79994201660156;328.79994201660156;16837.36;3247.0;153.24008607439288;86;None;720;18.667846011703112;None;None;None
